Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Dominica,DMA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,DNK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,DOM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,DZA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Asia & Pacific (excluding high income),EAP,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.97,0.94,1.22,1.84,1.89,1.77,1.62,1.62,1.69,1.62,1.52,1.6,1.7,1.79,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Early-demographic dividend,EAR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2.1,2.12,2.05,1.99,1.89,1.75,1.68,1.58,1.45,1.6,1.57,1.83,1.71,1.89,1.78,0.26,0.0,0.0,0.0,0.0,0.0,0.0
East Asia & Pacific,EAS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,13.5,12.84,11.87,10.44,10.64,10.67,9.9,8.43,8.35,8.34,7.73,5.03,3.81,3.56,3.78,1.95,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia (excluding high income),ECA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,15.46,15.68,16.08,16.06,15.61,15.76,15.61,15.37,15.12,15.4,15.27,15.13,15.07,14.34,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,ECS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,25.33,25.7,25.9,25.6,25.27,24.72,24.3,23.05,22.87,23.02,22.65,22.64,22.0,21.81,22.37,16.08,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,ECU,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
