Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Finland,FIN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,3.76,3.95,3.93,4.09,3.49,4.31,3.71,3.75,4.31,3.85,3.43,3.67,4.14,3.66,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,FJI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,FRA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,5.68,5.62,5.58,5.65,5.58,5.64,5.59,5.61,5.89,6.57,6.28,5.83,6.73,6.63,6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,FRO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Micronesia, Fed. Sts.",FSM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,GAB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,17.79,19.55,19.5,19.49,19.48,19.06,18.8,17.65,18.17,19.43,19.48,19.79,19.45,23.19,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,GBR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.32,8.39,8.05,8.11,8.48,7.06,6.99,7.08,7.3,7.54,7.03,7.56,7.87,7.51,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,GEO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,16.82,12.18,16.65,16.16,15.58,15.6,14.24,12.84,12.95,12.63,10.89,11.2,11.28,8.0,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,GHA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,19.48,18.56,22.16,28.83,27.12,24.57,20.68,23.3,22.87,23.63,23.22,23.12,21.53,21.54,22.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gibraltar,GIB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,3.2,3.17,3.1,2.99,2.94,2.76,3.31,3.23,3.01,2.87,2.82,2.92,2.84,3.17,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,GIN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gambia, The",GMB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,GNB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,GNQ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,GRC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.0,9.31,7.38,8.51,8.84,9.42,8.47,7.75,8.03,5.28,6.59,4.77,2.65,6.82,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,GRD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,GRL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,GTM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,24.7,23.0,22.19,14.6,14.21,17.92,11.57,13.54,13.95,14.27,13.35,16.43,13.85,8.62,9.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,GUM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,GUY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High income,HIC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.18,5.64,6.29,5.9,6.28,6.32,6.17,6.08,5.99,6.26,6.06,6.07,6.15,6.01,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hong Kong SAR, China",HKG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.93,12.16,12.33,12.5,12.54,12.75,12.04,12.89,12.65,13.16,12.68,13.67,14.65,14.21,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,HND,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,19.63,21.81,22.92,22.66,26.88,24.65,25.51,21.56,20.55,22.51,24.3,27.0,29.9,31.3,34.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
