Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Early-demographic dividend,EAR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,16.44,15.63,14.79,13.74,13.16,13.01,12.75,12.81,13.12,12.04,11.11,11.53,11.81,11.28,10.05,9.05,0.0,0.0,0.0,0.0,0.0,0.0
East Asia & Pacific,EAS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,9.18,8.13,7.86,7.34,6.75,5.96,4.87,4.42,3.76,2.8,2.65,2.98,2.88,2.32,1.94,1.68,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia (excluding high income),ECA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,4.61,3.86,3.69,3.44,2.88,2.52,2.55,2.01,1.8,1.84,0.85,1.68,1.75,0.65,0.8,0.88,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,ECS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,5.22,4.77,4.95,4.53,3.8,3.56,3.41,2.78,2.59,2.52,1.88,1.94,1.96,1.34,1.35,1.45,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,ECU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,28.3,36.01,33.55,29.68,32.81,33.54,36.1,31.19,29.52,38.49,43.28,35.02,34.9,38.13,37.48,34.53,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",EGY,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,28.55,15.59,18.13,14.39,13.06,13.55,13.92,12.46,15.24,15.56,13.48,10.98,15.16,17.62,19.47,21.01,0.0,0.0,0.0,0.0,0.0,0.0
Euro area,EMU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,7.37,6.87,7.5,6.61,5.65,5.48,5.06,4.21,3.92,3.72,3.14,2.81,2.88,2.42,2.36,2.43,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,ERI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,99.52,99.57,99.61,99.64,99.65,99.65,99.26,99.31,99.3,99.32,99.36,99.41,99.44,99.46,99.48,99.51,0.0,0.0,0.0,0.0,0.0,0.0
Spain,ESP,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,10.22,10.57,11.92,9.33,8.62,8.44,8.06,6.13,5.79,6.59,5.55,5.04,5.21,4.89,5.14,6.21,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,EST,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.66,0.47,0.32,0.39,0.41,0.31,0.31,0.28,0.35,0.51,0.32,0.33,0.48,0.99,0.35,1.23,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,ETH,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1.37,0.94,1.03,0.7,0.71,0.42,0.31,4.57,12.36,11.12,0.62,0.58,0.16,0.09,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0
European Union,EUU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,6.43,6.11,6.57,5.94,4.95,4.74,4.41,3.7,3.42,3.3,2.78,2.43,2.46,2.06,1.99,2.06,0.0,0.0,0.0,0.0,0.0,0.0
Fragile and conflict affected situations,FCS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,32.28,29.65,30.73,31.3,30.31,24.11,22.32,22.84,23.64,22.05,22.7,21.34,21.63,20.86,20.01,19.59,0.0,0.0,0.0,0.0,0.0,0.0
